Index,Title,Full Address,Neighborhood,District,Latitude,Longitude,Street,Bedrooms,Bathrooms,Parking,Floor Area,Land Area,Price
27,STARTER HOME-PRICE NEGOTIABLE,"2/1080 Frankton Road, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.015608,168.730169,2/1080 Frankton Road,2.0,1.0,2.0,120.2,0.0,685000.0
28,First Rate Location - With Flexible Uses,"505/1 Beetham Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.031728,168.664477,505/1 Beetham Street,2.0,1.0,1.0,85.2,0.0,695000.0
29,Queenstown Perfect location,"u006/30 Red Oaks Drive, Queenstown East, Queenstown-Lakes",Queenstown East,Queenstown-Lakes,-45.025747,168.747263,u006/30 Red Oaks Drive,2.0,2.0,0.0,76.2,0.0,none
30,Cozy Unit Right Near Remarkables Ski Area,"12 Woolshed Road, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.067451,168.742975,12 Woolshed Road,1.0,1.0,0.0,52.2,83.0,700000.0
31,LUXURY APARTMENTS - REMARKABLES GARDEN RESIDENTIAL,"Wyndham Garden, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.026491,168.746894,Wyndham Garden,2.0,1.0,0.0,0.0,0.0,715000.0
32,IN QUEENSTOWN. SIMPLY BREATHTAKING VIEWS,"214/16 Mountain Ash Drive, Queenstown East, Queenstown-Lakes",Queenstown East,Queenstown-Lakes,-45.027956,168.750854,214/16 Mountain Ash Drive,2.0,1.0,0.0,66.2,0.0,none
33,A great starter,"5/4 Sainsbury Road, Fernhill, Queenstown-Lakes",Fernhill,Queenstown-Lakes,-45.038095,168.639881,5/4 Sainsbury Road,3.0,2.0,1.0,150.2,0.0,750000.0
34,"Amazing Position, Views and Opportunity","1/4 Sainsbury Road, Fernhill, Queenstown-Lakes",Fernhill,Queenstown-Lakes,-45.038095,168.639881,1/4 Sainsbury Road,3.0,2.0,2.0,150.2,0.0,none
35,"Sun, Fun and Motivation","16/18 George Bullen Lane, Arthurs Point, Queenstown-Lakes",Arthurs Point,Queenstown-Lakes,-44.980355,168.681772,16/18 George Bullen Lane,2.0,1.0,2.0,110.2,0.0,none
36,Immaculate Entry Level,"23 Somerset Street, Kingston, Queenstown-Lakes",Kingston,Queenstown-Lakes,-45.331432,168.711075,23 Somerset Street,2.0,1.0,1.0,72.2,455.0,765000.0
37,High Value Investment in Queentown,"17E Boundary St, Queenstown East, Queenstown-Lakes",Queenstown East,Queenstown-Lakes,-45.027316,168.662038,17E Boundary St,2.0,1.0,0.0,0.0,0.0,780000.0
38,High Value Investment in Queenstown,"17D Boundary St, Queenstown East, Queenstown-Lakes",Queenstown East,Queenstown-Lakes,-45.027416,168.662038,17D Boundary St,2.0,1.0,0.0,90.2,0.0,780000.0
39,High Value Investment in Queenstown,"17C Boundary St, Queenstown East, Queenstown-Lakes",Queenstown East,Queenstown-Lakes,-45.027516,168.662038,17C Boundary St,2.0,1.0,0.0,90.2,0.0,780000.0
40,Dual-key unit with great views,"B2-506 A-B LQ, 16 Mountain Ash Drive, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.028011,168.750936,B2-506 A-B LQ,2.0,2.0,0.0,76.2,0.0,795000.0
41,"Stop Renting, Start Living","14/16 Mountain Ash Drive, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.027956,168.750854,14/16 Mountain Ash Drive,2.0,2.0,2.0,76.2,0.0,795000.0
42,Queenstown Best Deal - Dual Key Unit,"B2 unit 315 - 18 Mountain Ash Drive, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-4.502816,168.750682,B2 unit 315 - 18 Mountain Ash Drive,2.0,2.0,2.0,0.0,76.0,799000.0
43,Dual Key Apartment in Queenstown.,"B2 unit 315 - 18 Mountain Ash Drive, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-4.502816,168.750682,B2 unit 315 - 18 Mountain Ash Drive,2.0,2.0,2.0,0.0,76.0,799000.0
44,Owner must sell - Any offer considered,"B2-315 A-B LQ, 16 Mountain Ash Drive, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-4.502816,168.750682,B2-315 A-B LQ,2.0,2.0,0.0,76.2,0.0,799000.0
